Wavelengths (nm),Intensities (a.u)
337.0,1639.0
338.0,1625.0
339.0,1624.5
340.0,1622.3333333333333
341.0,1622.5
342.0,1623.0
343.0,1619.5
344.0,1618.0
345.0,1621.0
346.0,1617.3333333333333
347.0,1622.0
348.0,1615.5
349.0,1616.5
350.0,1623.0
351.0,1616.3333333333333
352.0,1615.5
353.0,1622.0
354.0,1617.5
355.0,1618.5
356.0,1622.0
357.0,1621.0
358.0,1612.5
359.0,1618.5
360.0,1621.5
361.0,1625.0
362.0,1619.5
363.0,1615.5
364.0,1624.0
365.0,1616.0
366.0,1619.0
367.0,1611.6666666666667
368.0,1622.0
369.0,1620.0
370.0,1613.0
371.0,1613.0
372.0,1619.0
373.0,1614.5
374.0,1625.0
375.0,1615.0
376.0,1620.5
377.0,1620.3333333333333
378.0,1626.5
379.0,1620.5
380.0,1622.5
381.0,1618.5
382.0,1610.0
383.0,1624.6666666666667
384.0,1615.0
385.0,1615.0
386.0,1618.5
387.0,1621.0
388.0,1622.6666666666667
389.0,1617.0
390.0,1619.0
391.0,1617.0
392.0,1619.0
393.0,1612.5
394.0,1620.6666666666667
395.0,1619.0
396.0,1624.5
397.0,1621.0
398.0,1627.0
399.0,1625.3333333333333
400.0,1625.0
401.0,1629.5
402.0,1621.5
403.0,1625.0
404.0,1625.0
405.0,1629.3333333333333
406.0,1624.0
407.0,1626.0
408.0,1615.5
409.0,1627.0
410.0,1622.5
411.0,1623.6666666666667
412.0,1624.5
413.0,1630.0
414.0,1625.5
415.0,1629.0
416.0,1625.6666666666667
417.0,1633.0
418.0,1625.0
419.0,1626.0
420.0,1616.0
421.0,1626.0
422.0,1625.3333333333333
423.0,1630.5
424.0,1630.0
425.0,1630.5
426.0,1621.5
427.0,1627.0
428.0,1627.3333333333333
429.0,1627.0
430.0,1618.0
431.0,1624.0
432.0,1626.5
433.0,1629.5
434.0,1626.0
435.0,1625.5
436.0,1631.5
437.0,1626.5
438.0,1631.5
439.0,1630.0
440.0,1628.3333333333333
441.0,1629.0
442.0,1630.5
443.0,1635.5
444.0,1632.0
445.0,1624.5
446.0,1628.3333333333333
447.0,1630.0
448.0,1630.5
449.0,1624.5
450.0,1626.0
451.0,1634.0
452.0,1620.3333333333333
453.0,1627.5
454.0,1628.0
455.0,1624.5
456.0,1627.5
457.0,1631.5
458.0,1632.0
459.0,1625.5
460.0,1630.5
461.0,1626.5
462.0,1627.5
463.0,1631.0
464.0,1627.5
465.0,1627.6666666666667
466.0,1633.0
467.0,1633.0
468.0,1633.5
469.0,1631.0
470.0,1630.0
471.0,1629.3333333333333
472.0,1622.5
473.0,1634.0
474.0,1626.0
475.0,1629.0
476.0,1625.0
477.0,1632.6666666666667
478.0,1628.5
479.0,1631.5
480.0,1631.0
481.0,1624.0
482.0,1629.5
483.0,1633.0
484.0,1632.6666666666667
485.0,1624.5
486.0,1628.0
487.0,1630.0
488.0,1631.0
489.0,1633.5
490.0,1629.5
491.0,1629.0
492.0,1628.0
493.0,1630.5
494.0,1630.0
495.0,1629.0
496.0,1632.5
497.0,1629.3333333333333
498.0,1627.0
499.0,1632.5
500.0,1631.5
501.0,1629.0
502.0,1630.5
503.0,1620.5
504.0,1633.0
505.0,1629.0
506.0,1627.0
507.0,1622.0
508.0,1639.0
509.0,1629.0
510.0,1634.0
511.0,1626.3333333333333
512.0,1636.0
513.0,1632.0
514.0,1637.5
515.0,1638.0
516.0,1621.0
517.0,1630.0
518.0,1636.6666666666667
519.0,1632.5
520.0,1632.5
521.0,1631.5
522.0,1635.5
523.0,1629.5
524.0,1628.5
525.0,1637.5
526.0,1633.0
527.0,1626.5
528.0,1637.0
529.0,1635.5
530.0,1629.0
531.0,1635.0
532.0,1632.0
533.0,1637.3333333333333
534.0,1633.0
535.0,1634.5
536.0,1634.0
537.0,1635.5
538.0,1631.5
539.0,1638.0
540.0,1636.0
541.0,1625.5
542.0,1637.0
543.0,1634.5
544.0,1625.5
545.0,1632.0
546.0,1635.5
547.0,1635.5
548.0,1624.6666666666667
549.0,1631.0
550.0,1632.0
551.0,1630.0
552.0,1635.0
553.0,1629.5
554.0,1635.0
555.0,1634.5
556.0,1637.3333333333333
557.0,1637.5
558.0,1630.5
559.0,1629.0
560.0,1632.5
561.0,1641.0
562.0,1635.0
563.0,1638.5
564.0,1633.3333333333333
565.0,1635.0
566.0,1631.5
567.0,1634.5
568.0,1636.0
569.0,1633.5
570.0,1632.5
571.0,1633.5
572.0,1637.3333333333333
573.0,1638.5
574.0,1637.0
575.0,1631.5
576.0,1634.5
577.0,1636.5
578.0,1631.5
579.0,1635.5
580.0,1634.0
581.0,1636.0
582.0,1636.5
583.0,1636.5
584.0,1631.5
585.0,1630.5
586.0,1637.0
587.0,1635.5
588.0,1630.0
589.0,1637.6666666666667
590.0,1635.0
591.0,1635.0
592.0,1634.5
593.0,1640.5
594.0,1633.0
595.0,1634.0
596.0,1640.5
597.0,1637.5
598.0,1638.0
599.0,1638.5
600.0,1620.5
601.0,1635.5
602.0,1636.0
603.0,1636.0
604.0,1633.0
605.0,1637.0
606.0,1638.5
607.0,1636.5
608.0,1639.3333333333333
609.0,1645.0
610.0,1630.5
611.0,1641.5
612.0,1631.5
613.0,1642.0
614.0,1641.0
615.0,1639.5
616.0,1631.0
617.0,1633.0
618.0,1634.0
619.0,1633.5
620.0,1631.5
621.0,1634.5
622.0,1633.0
623.0,1636.0
624.0,1632.5
625.0,1638.0
626.0,1637.0
627.0,1641.0
628.0,1638.0
629.0,1636.5
630.0,1636.5
631.0,1635.0
632.0,1637.0
633.0,1633.5
634.0,1637.0
635.0,1635.0
636.0,1637.5
637.0,1637.0
638.0,1639.3333333333333
639.0,1635.5
640.0,1629.5
641.0,1636.5
642.0,1633.5
643.0,1629.5
644.0,1635.5
645.0,1630.0
646.0,1633.0
647.0,1630.0
648.0,1636.0
649.0,1634.6666666666667
650.0,1629.0
651.0,1635.0
652.0,1632.5
653.0,1632.0
654.0,1631.0
655.0,1626.5
656.0,1628.5
657.0,1625.5
658.0,1638.0
659.0,1631.0
660.0,1633.5
661.0,1628.6666666666667
662.0,1627.0
663.0,1635.5
664.0,1626.5
665.0,1637.0
666.0,1630.5
667.0,1623.5
668.0,1631.0
669.0,1632.5
670.0,1633.5
671.0,1630.5
672.0,1632.5
673.0,1629.3333333333333
674.0,1633.5
675.0,1630.0
676.0,1629.0
677.0,1627.5
678.0,1627.5
679.0,1621.0
680.0,1630.5
681.0,1632.0
682.0,1632.0
683.0,1622.5
684.0,1626.5
685.0,1620.0
686.0,1626.3333333333333
687.0,1623.5
688.0,1629.0
689.0,1629.5
690.0,1625.5
691.0,1620.5
692.0,1622.5
693.0,1621.0
694.0,1620.0
695.0,1623.0
696.0,1617.5
697.0,1624.0
698.0,1624.5
699.0,1624.5
700.0,1627.0
701.0,1618.6666666666667
702.0,1627.0
703.0,1627.5
704.0,1623.0
705.0,1625.0
706.0,1618.0
707.0,1615.0
708.0,1618.0
709.0,1620.5
710.0,1621.0
711.0,1627.5
712.0,1628.0
713.0,1628.0
714.0,1623.5
715.0,1621.0
716.0,1616.5
717.0,1620.3333333333333
718.0,1621.5
719.0,1623.0
720.0,1617.5
721.0,1619.5
722.0,1616.0
723.0,1622.5
724.0,1624.5
725.0,1624.5
726.0,1622.0
727.0,1617.5
728.0,1619.5
729.0,1622.5
730.0,1616.0
731.0,1614.5
732.0,1624.5
733.0,1622.0
734.0,1626.5
735.0,1612.0
736.0,1613.5
737.0,1615.5
738.0,1615.0
739.0,1610.0
740.0,1613.5
741.0,1615.5
742.0,1612.5
743.0,1617.0
744.0,1615.5
745.0,1616.0
746.0,1611.0
747.0,1617.5
748.0,1618.0
749.0,1612.0
750.0,1613.0
751.0,1613.5
752.0,1619.5
753.0,1614.0
754.0,1609.0
755.0,1618.0
756.0,1610.0
757.0,1616.3333333333333
758.0,1612.5
759.0,1608.0
760.0,1612.0
761.0,1614.0
762.0,1618.5
763.0,1611.5
764.0,1618.0
765.0,1613.0
766.0,1615.5
767.0,1613.5
768.0,1610.0
769.0,1616.5
770.0,1610.0
771.0,1617.0
772.0,1610.0
773.0,1615.0
774.0,1613.0
775.0,1607.5
776.0,1609.0
777.0,1610.5
778.0,1612.5
779.0,1615.5
780.0,1606.5
781.0,1603.0
782.0,1607.0
783.0,1605.5
784.0,1601.0
785.0,1609.0
786.0,1602.0
787.0,1614.0
788.0,1611.0
789.0,1606.0
790.0,1611.0
791.0,1605.5
792.0,1606.0
793.0,1606.0
794.0,1608.5
795.0,1606.0
796.0,1609.5
797.0,1608.0
798.0,1609.5
799.0,1609.0
800.0,1608.0
801.0,1611.5
802.0,1604.5
803.0,1602.5
804.0,1608.0
805.0,1601.5
806.0,1604.5
807.0,1603.5
808.0,1602.5
809.0,1604.0
810.0,1606.5
811.0,1606.0
812.0,1610.5
813.0,1601.0
814.0,1606.5
815.0,1602.5
816.0,1606.5
817.0,1604.0
818.0,1600.5
819.0,1600.5
820.0,1603.0
821.0,1595.5
822.0,1589.0
